DATE,CUSR0000SEHA,CUSR0000SEHC01
1984-01-01,102.500,104.700
1984-02-01,102.900,105.100
1984-03-01,103.500,105.600
1984-04-01,104.300,106.400
1984-05-01,104.600,106.600
1984-06-01,105.100,107.000
1984-07-01,105.600,107.800
1984-08-01,106.100,108.100
1984-09-01,106.500,108.600
1984-10-01,107.000,108.900
1984-11-01,107.400,109.200
1984-12-01,108.100,109.700
1985-01-01,108.500,110.000
1985-02-01,109.200,110.800
1985-03-01,109.700,111.100
1985-04-01,110.200,111.300
1985-05-01,111.000,112.600
1985-06-01,111.600,113.000
1985-07-01,112.000,113.500
1985-08-01,112.600,114.300
1985-09-01,113.000,114.500
1985-10-01,113.800,114.800
1985-11-01,114.600,115.700
1985-12-01,115.000,116.200
1986-01-01,115.400,116.800
1986-02-01,115.600,117.100
1986-03-01,116.400,118.100
1986-04-01,117.600,118.700
1986-05-01,117.800,118.900
1986-06-01,118.200,119.300
1986-07-01,118.900,119.500
1986-08-01,119.000,119.900
1986-09-01,119.400,120.500
1986-10-01,120.000,121.000
1986-11-01,120.400,121.300
1986-12-01,120.700,121.500
1987-01-01,121.200,121.900
1987-02-01,121.600,122.500
1987-03-01,122.000,123.100
1987-04-01,122.200,123.900
1987-05-01,122.500,124.400
1987-06-01,122.500,124.600
1987-07-01,123.000,124.600
1987-08-01,123.800,125.400
1987-09-01,124.200,125.800
1987-10-01,124.600,126.800
1987-11-01,124.600,127.100
1987-12-01,125.500,127.800
1988-01-01,125.900,128.500
1988-02-01,126.200,129.000
1988-03-01,126.600,129.400
1988-04-01,126.900,129.800
1988-05-01,127.200,130.200
1988-06-01,127.600,130.800
1988-07-01,127.900,131.300
1988-08-01,128.400,131.900
1988-09-01,128.900,132.500
1988-10-01,129.100,132.700
1988-11-01,129.500,133.500
1988-12-01,129.900,133.900
1989-01-01,130.400,134.400
1989-02-01,130.900,134.800
1989-03-01,131.200,135.300
1989-04-01,131.600,135.800
1989-05-01,132.000,136.500
1989-06-01,132.600,136.900
1989-07-01,133.000,137.500
1989-08-01,133.500,138.200
1989-09-01,133.700,138.700
1989-10-01,134.400,139.600
1989-11-01,135.000,140.100
1989-12-01,135.300,140.800
1990-01-01,135.800,141.100
1990-02-01,136.100,141.200
1990-03-01,136.700,142.600
1990-04-01,137.200,143.100
1990-05-01,137.600,143.500
1990-06-01,138.200,144.900
1990-07-01,138.700,145.700
1990-08-01,139.300,146.700
1990-09-01,139.700,147.000
1990-10-01,140.200,147.200
1990-11-01,140.500,147.100
1990-12-01,141.000,147.600
1991-01-01,141.200,148.100
1991-02-01,141.600,148.600
1991-03-01,142.100,148.800
1991-04-01,142.600,149.300
1991-05-01,143.000,149.700
1991-06-01,143.200,150.100
1991-07-01,143.700,150.500
1991-08-01,143.700,150.800
1991-09-01,144.400,151.400
1991-10-01,144.400,152.000
1991-11-01,144.800,152.600
1991-12-01,145.100,153.200
1992-01-01,145.400,153.500
1992-02-01,145.700,153.800
1992-03-01,146.500,154.400
1992-04-01,146.200,154.600
1992-05-01,146.500,154.900
1992-06-01,146.700,155.400
1992-07-01,147.000,155.700
1992-08-01,147.000,156.100
1992-09-01,147.100,156.000
1992-10-01,147.900,156.800
1992-11-01,148.400,157.300
1992-12-01,148.500,157.700
1993-01-01,148.900,158.500
1993-02-01,149.100,158.800
1993-03-01,149.100,159.000
1993-04-01,149.700,159.700
1993-05-01,150.000,160.000
1993-06-01,150.400,160.600
1993-07-01,150.400,160.700
1993-08-01,150.800,161.100
1993-09-01,151.000,161.400
1993-10-01,151.300,161.700
1993-11-01,151.500,162.100
1993-12-01,151.900,162.700
1994-01-01,152.200,163.100
1994-02-01,152.700,163.900
1994-03-01,153.200,164.500
1994-04-01,153.300,164.700
1994-05-01,153.400,165.100
1994-06-01,153.500,165.300
1994-07-01,154.000,165.600
1994-08-01,154.500,166.500
1994-09-01,155.000,167.100
1994-10-01,155.100,167.600
1994-11-01,155.500,168.000
1994-12-01,155.700,168.000
1995-01-01,156.100,168.600
1995-02-01,156.300,169.000
1995-03-01,156.600,169.500
1995-04-01,157.000,170.000
1995-05-01,157.300,170.600
1995-06-01,157.600,171.100
1995-07-01,158.000,171.500
1995-08-01,158.200,172.000
1995-09-01,158.500,172.500
1995-10-01,158.800,173.200
1995-11-01,159.200,173.700
1995-12-01,159.600,174.200
1996-01-01,159.900,174.600
1996-02-01,160.300,174.900
1996-03-01,160.600,175.400
1996-04-01,160.900,175.700
1996-05-01,161.300,176.200
1996-06-01,161.800,176.500
1996-07-01,162.300,177.000
1996-08-01,162.500,177.400
1996-09-01,162.900,177.800
1996-10-01,163.200,178.200
1996-11-01,163.600,178.600
1996-12-01,163.900,178.900
1997-01-01,164.300,179.400
1997-02-01,164.700,179.900
1997-03-01,165.100,180.200
1997-04-01,165.600,180.700
1997-05-01,166.000,181.200
1997-06-01,166.500,181.600
1997-07-01,166.900,182.200
1997-08-01,167.300,182.700
1997-09-01,167.800,183.100
1997-10-01,168.200,183.400
1997-11-01,168.600,184.000
1997-12-01,169.000,184.500
1998-01-01,169.400,185.000
1998-02-01,169.800,185.400
1998-03-01,170.300,186.000
1998-04-01,170.800,186.500
1998-05-01,171.300,187.000
1998-06-01,171.800,187.600
1998-07-01,172.300,188.100
1998-08-01,172.900,188.600
1998-09-01,173.400,189.100
1998-10-01,173.900,189.700
1998-11-01,174.400,190.100
1998-12-01,174.800,190.500
1999-01-01,175.200,190.900
1999-02-01,175.500,191.200
1999-03-01,175.900,191.600
1999-04-01,176.400,192.000
1999-05-01,176.800,192.400
1999-06-01,177.200,192.700
1999-07-01,177.600,193.100
1999-08-01,178.000,193.500
1999-09-01,178.500,193.900
1999-10-01,178.800,194.200
1999-11-01,179.700,194.700
1999-12-01,180.100,195.000
2000-01-01,180.900,196.000
2000-02-01,181.300,196.500
2000-03-01,181.900,196.900
2000-04-01,182.300,197.300
2000-05-01,182.800,197.800
2000-06-01,183.400,198.400
2000-07-01,184.100,198.800
2000-08-01,184.800,199.300
2000-09-01,185.400,199.900
2000-10-01,186.100,200.500
2000-11-01,186.700,201.000
2000-12-01,187.400,201.600
2001-01-01,188.000,202.200
2001-02-01,188.700,202.800
2001-03-01,189.500,203.600
2001-04-01,190.200,204.300
2001-05-01,191.100,205.100
2001-06-01,191.800,205.900
2001-07-01,192.500,206.500
2001-08-01,193.200,207.400
2001-09-01,194.000,208.100
2001-10-01,194.700,209.000
2001-11-01,195.400,209.900
2001-12-01,196.200,210.700
2002-01-01,196.800,211.400
2002-02-01,197.500,212.000
2002-03-01,198.100,212.700
2002-04-01,198.500,213.400
2002-05-01,198.900,213.900
2002-06-01,199.500,214.500
2002-07-01,200.000,215.100
2002-08-01,200.300,215.500
2002-09-01,200.800,216.200
2002-10-01,201.300,216.700
2002-11-01,201.900,217.200
2002-12-01,202.400,217.700
2003-01-01,203.200,218.300
2003-02-01,203.500,218.600
2003-03-01,204.000,218.900
2003-04-01,204.500,219.000
2003-05-01,205.000,219.300
2003-06-01,205.300,219.300
2003-07-01,205.800,219.800
2003-08-01,206.200,220.200
2003-09-01,206.700,220.700
2003-10-01,206.900,221.300
2003-11-01,207.400,221.800
2003-12-01,207.700,222.000
2004-01-01,208.100,222.400
2004-02-01,208.600,222.800
2004-03-01,209.100,223.300
2004-04-01,209.700,224.000
2004-05-01,210.300,224.400
2004-06-01,210.900,224.900
2004-07-01,211.400,225.300
2004-08-01,212.000,225.800
2004-09-01,212.500,226.100
2004-10-01,212.800,226.400
2004-11-01,213.100,226.700
2004-12-01,213.700,227.100
2005-01-01,214.300,227.700
2005-02-01,214.900,228.300
2005-03-01,215.400,228.700
2005-04-01,216.000,229.000
2005-05-01,216.500,229.500
2005-06-01,217.000,229.800
2005-07-01,217.700,230.300
2005-08-01,218.100,230.700
2005-09-01,218.700,231.200
2005-10-01,219.300,231.600
2005-11-01,219.900,232.200
2005-12-01,220.300,232.700
2006-01-01,220.800,233.400
2006-02-01,221.500,234.100
2006-03-01,222.200,234.900
2006-04-01,222.900,235.800
2006-05-01,223.700,236.900
2006-06-01,224.600,238.000
2006-07-01,225.400,238.900
2006-08-01,226.300,239.700
2006-09-01,227.200,240.400
2006-10-01,228.000,241.300
2006-11-01,228.800,242.000
2006-12-01,229.800,242.700
2007-01-01,230.547,243.345
2007-02-01,231.546,244.020
2007-03-01,232.349,244.602
2007-04-01,232.960,244.993
2007-05-01,233.656,245.236
2007-06-01,234.283,245.690
2007-07-01,234.996,246.149
2007-08-01,235.524,246.815
2007-09-01,236.239,247.487
2007-10-01,237.180,248.075
2007-11-01,238.063,248.876
2007-12-01,238.873,249.532
2008-01-01,239.517,250.013
2008-02-01,240.080,250.419
2008-03-01,240.680,250.899
2008-04-01,241.437,251.408
2008-05-01,241.927,251.676
2008-06-01,242.882,252.229
2008-07-01,243.675,252.621
2008-08-01,244.475,252.992
2008-09-01,245.175,253.572
2008-10-01,245.914,253.936
2008-11-01,246.556,254.601
2008-12-01,246.992,254.772
2009-01-01,247.563,255.330
2009-02-01,247.994,255.657
2009-03-01,248.396,256.230
2009-04-01,248.837,256.603
2009-05-01,249.204,257.028
2009-06-01,249.381,257.073
2009-07-01,249.343,257.045
2009-08-01,249.359,257.248
2009-09-01,249.261,256.960
2009-10-01,248.959,256.921
2009-11-01,248.778,256.617
2009-12-01,248.667,256.597
2010-01-01,248.721,256.423
2010-02-01,248.717,256.370
2010-03-01,248.854,256.179
2010-04-01,248.962,256.147
2010-05-01,249.066,256.296
2010-06-01,249.327,256.442
2010-07-01,249.458,256.545
2010-08-01,249.346,256.567
2010-09-01,249.663,256.681
2010-10-01,249.660,256.827
2010-11-01,250.182,257.102
2010-12-01,250.641,257.326
2011-01-01,251.142,257.609
2011-02-01,251.516,257.973
2011-03-01,251.905,258.197
2011-04-01,252.203,258.422
2011-05-01,252.584,258.716
2011-06-01,252.986,259.114
2011-07-01,253.423,259.695
2011-08-01,254.295,260.192
2011-09-01,254.895,260.495
2011-10-01,255.651,260.983
2011-11-01,256.207,261.362
2011-12-01,256.800,261.852
2012-01-01,257.267,262.345
2012-02-01,257.842,262.699
2012-03-01,258.335,263.263
2012-04-01,258.977,263.847
2012-05-01,259.481,264.177
2012-06-01,259.893,264.452
2012-07-01,260.476,264.870
2012-08-01,260.999,265.413
2012-09-01,261.620,266.004
2012-10-01,262.631,266.469
2012-11-01,263.137,266.896
2012-12-01,263.669,267.307
2013-01-01,264.245,267.763
2013-02-01,264.904,268.302
2013-03-01,265.603,268.732
2013-04-01,266.094,269.289
2013-05-01,266.841,269.799
2013-06-01,267.451,270.340
2013-07-01,267.870,270.735
2013-08-01,268.837,271.391
2013-09-01,269.315,271.905
2013-10-01,269.822,272.497
2013-11-01,270.387,273.186
2013-12-01,271.220,273.936
2014-01-01,271.918,274.507
2014-02-01,272.461,275.106
2014-03-01,273.341,275.776
2014-04-01,274.255,276.358
2014-05-01,275.013,276.937
2014-06-01,275.819,277.468
2014-07-01,276.663,278.108
2014-08-01,277.319,278.672
2014-09-01,278.149,279.255
2014-10-01,278.797,279.882
2014-11-01,279.758,280.538
2014-12-01,280.383,281.036
2015-01-01,281.223,281.747
2015-02-01,282.171,282.506
2015-03-01,283.056,283.240
2015-04-01,283.786,284.031
2015-05-01,284.559,284.681
2015-06-01,285.477,285.632
2015-07-01,286.435,286.425
2015-08-01,287.320,287.067
2015-09-01,288.385,287.837
2015-10-01,289.236,288.495
2015-11-01,289.953,289.126
2015-12-01,290.723,289.841
2016-01-01,291.700,290.654
2016-02-01,292.617,291.408
2016-03-01,293.471,292.103
2016-04-01,294.397,292.964
2016-05-01,295.371,293.973
2016-06-01,296.306,294.876
2016-07-01,297.192,295.715
2016-08-01,298.029,296.533
2016-09-01,299.035,297.595
2016-10-01,300.215,298.459
2016-11-01,301.223,299.430
2016-12-01,302.271,300.253
2017-01-01,303.156,300.965
2017-02-01,304.060,301.735
2017-03-01,304.888,302.350
2017-04-01,305.692,302.947
2017-05-01,306.720,303.585
2017-06-01,307.681,304.426
2017-07-01,308.490,305.214
2017-08-01,309.608,306.227
2017-09-01,310.346,307.062
2017-10-01,311.330,308.005
2017-11-01,312.295,308.797
2017-12-01,313.462,309.832
2018-01-01,314.531,310.641
2018-02-01,315.162,311.217
2018-03-01,315.885,312.213
2018-04-01,316.960,313.179
2018-05-01,317.766,313.979
2018-06-01,318.607,314.681
2018-07-01,319.642,315.589
2018-08-01,320.860,316.448
2018-09-01,321.563,317.132
2018-10-01,322.447,318.034
2018-11-01,323.633,319.028
2018-12-01,324.408,319.790
2019-01-01,325.314,320.587
2019-02-01,326.220,321.579
2019-03-01,327.539,322.564
2019-04-01,328.816,323.645
2019-05-01,329.617,324.487
2019-06-01,330.919,325.455
2019-07-01,331.935,326.258
2019-08-01,332.781,327.080
2019-09-01,333.920,327.994
2019-10-01,334.558,328.623
2019-11-01,335.484,329.482
2019-12-01,336.418,330.297
2020-01-01,337.531,331.348
2020-02-01,338.465,332.118
2020-03-01,339.510,332.936
2020-04-01,340.252,333.596
2020-05-01,341.094,334.406
2020-06-01,341.554,334.671
2020-07-01,342.324,335.369
2020-08-01,342.670,335.909
2020-09-01,342.990,336.144
2020-10-01,343.498,336.821
2020-11-01,343.703,336.976
2020-12-01,344.087,337.439
2021-01-01,344.415,337.964
2021-02-01,345.052,338.794
2021-03-01,345.653,339.597
2021-04-01,346.371,340.408
2021-05-01,347.297,341.438
2021-06-01,348.112,342.505
2021-07-01,348.909,343.531
2021-08-01,350.044,344.526
2021-09-01,351.354,345.871
2021-10-01,352.774,347.372
2021-11-01,354.168,348.859
2021-12-01,355.509,350.184
2022-01-01,357.322,351.727
2022-02-01,359.380,353.303
2022-03-01,360.965,354.970
2022-04-01,363.055,356.712
2022-05-01,365.417,358.837
2022-06-01,368.249,361.305
2022-07-01,370.998,363.629
2022-08-01,373.742,366.308
2022-09-01,376.705,369.026
2022-10-01,379.311,371.351
2022-11-01,382.150,373.772
2022-12-01,385.125,376.569
2023-01-01,387.845,379.054
2023-02-01,390.827,381.638
2023-03-01,392.746,383.556
2023-04-01,395.012,385.742
2023-05-01,397.070,387.793
2023-06-01,398.981,389.602
2023-07-01,400.873,391.536
2023-08-01,402.813,393.187
2023-09-01,404.656,395.155
2023-10-01,406.561,396.791
2023-11-01,408.366,398.719
2023-12-01,409.972,400.410
2024-01-01,411.460,402.651
2024-02-01,413.365,404.409
2024-03-01,415.045,406.182
2024-04-01,416.507,407.894
2024-05-01,418.135,409.649
2024-06-01,419.227,410.772
2024-07-01,421.272,412.258
2024-08-01,422.820,414.297
